Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;04.03.11;Dortmund;FC Koln;1;0;H;H;24;7;8;1;0;3;0;0
D1;05.03.11;Ein Frankfurt;Kaiserslautern;0;0;D;D;6;9;0;2;4;3;0;0
D1;05.03.11;Hannover;Bayern Munich;3;1;H;H;13;12;7;6;3;1;0;1
D1;05.03.11;Leverkusen;Wolfsburg;3;0;H;H;14;9;9;1;0;4;0;0
D1;05.03.11;M'gladbach;Hoffenheim;2;0;H;D;13;9;6;0;1;4;0;0
D1;05.03.11;Nurnberg;St Pauli;5;0;H;H;20;4;7;1;1;3;0;0
D1;05.03.11;Stuttgart;Schalke 04;1;0;H;H;22;14;5;3;1;2;0;1
D1;06.03.11;Freiburg;Werder Bremen;1;3;A;A;9;16;1;7;3;6;0;0
D1;06.03.11;Hamburg;Mainz;2;4;A;H;8;12;4;6;2;2;0;0
D1;11.03.11;FC Koln;Hannover;4;0;H;H;12;14;7;4;0;3;0;0
D1;12.03.11;Bayern Munich;Hamburg;6;0;H;H;17;10;8;3;2;1;0;0
D1;12.03.11;Hoffenheim;Dortmund;1;0;H;D;11;16;4;3;2;1;0;0
D1;12.03.11;Kaiserslautern;Freiburg;2;1;H;D;19;9;6;2;0;0;0;0
D1;12.03.11;Schalke 04;Ein Frankfurt;2;1;H;H;9;7;5;5;1;3;0;0
D1;12.03.11;Werder Bremen;M'gladbach;1;1;D;H;18;12;5;3;3;0;0;0
D1;12.03.11;Wolfsburg;Nurnberg;1;2;A;D;12;8;5;4;2;3;0;0
D1;13.03.11;Mainz;Leverkusen;0;1;A;D;5;14;1;3;3;3;0;0
D1;13.03.11;St Pauli;Stuttgart;1;2;A;D;9;17;2;9;2;2;0;0
D1;18.03.11;M'gladbach;Kaiserslautern;0;1;A;D;8;13;4;3;2;0;0;0
D1;19.03.11;Dortmund;Mainz;1;1;D;H;15;9;3;3;1;1;0;0
D1;19.03.11;Ein Frankfurt;St Pauli;2;1;H;D;13;11;6;3;1;4;0;0
D1;19.03.11;Freiburg;Bayern Munich;1;2;A;D;12;11;4;6;2;0;0;0
D1;19.03.11;Hamburg;FC Koln;6;2;H;H;21;9;7;3;1;2;0;0
D1;19.03.11;Hannover;Hoffenheim;2;0;H;H;9;12;3;2;0;1;0;0
D1;19.03.11;Nurnberg;Werder Bremen;1;3;A;D;8;8;4;6;3;3;1;0
D1;20.03.11;Leverkusen;Schalke 04;2;0;H;H;13;7;7;5;2;3;0;0
D1;20.03.11;Stuttgart;Wolfsburg;1;1;D;A;16;9;4;6;1;3;0;0
D1;01.04.11;St Pauli;Schalke 04;0;2;A;A;17;11;2;3;1;2;2;0
D1;02.04.11;Bayern Munich;M'gladbach;1;0;H;D;16;7;5;2;2;1;0;0
D1;02.04.11;Dortmund;Hannover;4;1;H;D;21;7;10;3;1;2;0;0
